site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
CA-TPD,42.6353,-80.5577,260,DBF,Dfb,1036,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_PI_F,TS_PI_F_1,SWC_1_1_1,PPFD_IN,USTAR,RH,,,,,YES,,,TS_measured,,,sensor
US-BZS,64.6963,-148.3235,100,ENF,Dfd,274,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_PI_1,SWC_PI_1,SW_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,sensor
US-Cwt,35.0592,-83.4275,690,DBF,Dfb,1800,AmeriFlux_BASE,NO,,FC + SC_PI_F,,TA_PI_F,,SWC_1_1_1,SW_IN_PI_F,USTAR_1_1_1,RH_PI_F,,use nearby site TA-TS relationships,,,NO,,,TS_measured,,,borrowed_site
US-Rls,43.1439,-116.7356,1608,CSH,Bsh,333,AmeriFlux_BASE,NO,,NEE_PI,,TA_PI_F,TS_PI_1,SWC_4_1_1,SW_IN_PI_F,USTAR,RH_PI_F,,,,,YES,,,TS_measured,,,sensor
US-Rws,43.1675,-116.7132,1425,OSH,Bsk,290,AmeriFlux_BASE,NO,,NEE_PI,,TA_PI_F,TS_PI_1,SWC_4_1_1,SW_IN_PI_F,USTAR,RH_PI_F,,,,,YES,,,TS_measured,,,sensor
BR-Ma2,-2.6091,-60.2093,130,EBF,Af,2252,AmeriFlux_BASE,NO,,NEE_PI_F,FC,TA_PI_F,TA_PI_F,,SW_IN_PI_F,USTAR,RH,VPD_PI_F,"no soil T, use bottom airT",1,366,NO,,,TS_measured,,,sensor
BR-Sa1,-2.8567,-54.9589,88,EBF,Am,2074.79,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_1_1_1,TA_1_8_1,,PPFD_IN,USTAR,RH_1_2_1,VPD_PI_1_2_1,"no soil T, use bottom airT",1,366,NO,,,TS_measured,,,sensor
CA-ARB,52.695,-83.9452,90,WET,Dfb,700,AmeriFlux_BASE,NO,,NEE_PI,FC,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,,,,YES,,,TS_measured,,,lm_ta_cold
CA-ARF,52.7008,-83.955,88,WET,Dfb,700,AmeriFlux_BASE,NO,,NEE_PI,FC,TA,TS_1_2_1,SWC_1_1_1,SW_IN,USTAR,RH,,growing season the same as CA-ARB,146,258,YES,,,TS_measured,,,lm_ta_cold
CA-KLP,51.5902,-81.7684,71,WET,Dfb,680,AmeriFlux_BASE,NO,,NEE_PI,FC,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,,,,YES,,,TS_measured,,,lm_ta_cold
US-BZo,64.6936,-148.33,100,WET,Dfd,274,AmeriFlux_BASE,NO,,FC_PI_F,FC_PI_F,TA_PI_F,TS_PI_2,SWC_PI_1,SW_IN,USTAR,RH,VPD_PI_F,,,,YES,,,TS_measured,,,lm_ta_recent
US-ChR,35.9311,-84.3324,286,DBF,Cfa,1358.85,AmeriFlux_BASE,NO,,FC + SC,FC,TA,TS_PI_1,SWC_PI_2,SW_IN,USTAR,RH,VPD_PI,"1st layer SWC data may be abnormal, use 2rd layer",,,YES,,,TS_measured,,,lm_ta_cold
US-Rms,43.0645,-116.7486,2111,CSH,Bsh,800,AmeriFlux_BASE,NO,,NEE_PI,FC,TA,TS_PI_2,SWC_4_1_1,SW_IN,USTAR,RH,,1 year is missing,,,YES,,,TS_measured,,,lm_ta_cold
US-SRS,31.8173,-110.8508,1169,WSA,Bsk,388,AmeriFlux_BASE,NO,,FC,FC,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,VPD_PI,"abnormal flux in oct, 2013",181,280,YES,,,TS_measured,,,lm_ta_cold
